Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,,
4,1,a,990411-991026,alewife,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,ashad,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,atlsalm,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,blgl,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,brbull,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,brntrt,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,eel,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,gshad,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,lmb,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,rdbrst,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,wperch,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,wtcat,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,990411-991026,rnbwtrt,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,980000,alewife,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,980000,ashad,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,980000,atlsalm,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,980000,blbck,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,980000,brbull,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
4,1,a,980000,brktrt,no measurements,,,Potter Hill Fishway,Hopkinton,41.41402,-71.79706,,,,,,,,
