Basin,Stem,Station,Date---,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
1,1,2,950425,wtsuck,301.2,126,474,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,ylbull,228.0,182,274,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,yperch,-,-,-,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,blgl,106.8,28,180,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,blkcrp,162.0,154,170,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,carp,700.0,700,700,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,chnpick,400.3,297,525,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,cmnshnr,102.7,60,132,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,gldshnr,83.4,66,134,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,lmb,165.0,54,455,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,npike,870.0,870,870,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,pmpknsd,105.9,25,174,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,wperch,246.5,245,248,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,wtsuck,350.6,286,444,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,ylbull,231.0,198,248,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,yperch,181.2,100,253,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,1080819,alewife,74.0,74,74,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,blgl,121.5,40,197,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,blkcrp,234.0,234,234,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,carp,575.0,535,595,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,cmnshnr,112.5,93,141,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,fllfsh,125.4,104,153,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,gldshnr,50.0,50,50,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,lmb,154.5,63,462,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,pmpknsd,108.2,86,154,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,tssdtr,70.5,67,74,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,wperch,256.0,242,270,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,wtsuck,333.8,160,484,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1080819,yperch,180.1,144,246,Blackstone R./Valley Falls,Cumberland/Lincoln/Valley Falls,41.90472,-71.40072,,,,,,,
1,1,2,1121004,ambklmp,135.0,135,135,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,bullhead,0.0,0,0,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,carp,0.0,0,0,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,chnpick,0.0,0,0,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,eel,0.0,0,0,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,gldshnr,0.0,0,0,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
