Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
5,0,1,1060420,alewife,254.0,254,254,Woonasquatucket River/Valley St.,Providence,41.82262,-71.44101,,,,,,,
5,0,1,940422,eel,147.0,90,305,Woonasquatucket R./Valley St.,Providence,41.82262,-71.44101,,,,,,,
5,0,1,940422,eel,90.0,90,90,Woonasquatucket R./Valley St.,Providence,41.82262,-71.44101,,,,,,,
5,0,1,940422,gldshnr,44.0,44,44,Woonasquatucket R./Valley St.,Providence,41.82262,-71.44101,,,,,,,
5,0,1,940422,lepomis,152.0,152,152,Woonasquatucket R./Valley St.,Providence,41.82262,-71.44101,,,,,,,
5,0,1,940422,tssdtr,56.8,46,67,Woonasquatucket R./Valley St.,Providence,41.82262,-71.44101,,,,,,,
5,0,1,940422,wtsuck,72.7,45,98,Woonasquatucket R./Valley St.,Providence,41.82262,-71.44101,,,,,,,
5,0,1,1100628,eel,0.0,0,0,Woonasquatucket R./Valley St. fish ladder,Providence,41.82262,-71.44101,,,,,,,
5,0,1,1100628,fllfsh,100.0,100,100,Woonasquatucket R./Valley St. fish ladder,Providence,41.82262,-71.44101,,,,,,,
5,0,1,1100628,gldshnr,100.0,100,100,Woonasquatucket R./Valley St. fish ladder,Providence,41.82262,-71.44101,,,,,,,
5,0,2,950606,blgl,135.2,38,200,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,blkcrp,202.7,162,226,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,brbull,282.8,225,335,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,chnpick,295.0,295,295,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,eel,600.0,600,600,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,gldshnr,187.0,153,221,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,lmb,300.3,199,424,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,npike,501.0,501,501,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,pmpknsd,166.1,57,195,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,tssdtr,55.0,54,56,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,wperch,175.4,75,247,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,950606,yperch,146.5,45,223,Waterman Res.,Glocester/Smithfield,41.87894,-71.58369,,,,,,,
5,0,2,1030725,swmpdtr,21.0,21,21,Waterman Res.,Glocester,41.87894,-71.58369,,,,,,,
5,0,2,1030725,tssdtr,31.0,31,31,Waterman Res.,Glocester,41.87894,-71.58369,,,,,,,
5,0,3,950615,blgl,174.9,70,213,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,bndkilli,66.6,40,86,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,brbull,312.2,295,325,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,chnpick,234.2,56,378,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,eel,313.1,165,490,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,gldshnr,138.0,67,209,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,lmb,236.7,44,572,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,pmpknsd,157.8,64,194,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,wperch,208.0,95,270,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,3,950615,yperch,184.8,135,275,Slack Res.,Smithfield/Johnston,41.86097,-71.55142,,,,,,,
5,0,4,950621,blgl,167.7,97,201,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,blkcrp,270.0,270,270,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,bndkilli,53.0,53,53,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,brbull,330.0,330,330,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,chnpick,290.0,230,340,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,eel,347.8,180,540,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,gldshnr,181.0,168,190,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,lmb,247.0,86,381,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,pmpknsd,168.3,70,211,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,wperch,215.6,131,244,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,wtsuck,456.0,456,456,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,ylbull,165.0,165,165,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,950621,yperch,169.2,100,232,Georgiaville Res.,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,1020910,bndkilli,48.3,32,62,Georgiaville Pond,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,1020910,lmb,75.3,73,78,Georgiaville Pond,Smithfield,41.89231,-71.51022,,,,,,,
5,0,4,1020910,tssdtr,52.0,52,52,Georgiaville Pond,Smithfield,41.89231,-71.51022,,,,,,,
5,0,5,950627,blgl,153.1,50,196,Woonasquatucket Res.,Smithfield,41.90389,-71.54439,,,,,,,
