Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,,
8,0,1,1000515,blgl,96.4,28,235,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,bndkilli,47.5,35,76,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,brbull,323.75,215,355,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,chnpick,219.7058824,138,400,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,eel,356.4285714,210,630,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,gldshnr,158,145,184,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,lmb,260.1702128,85,511,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,pmpknsd,141.7666667,86,246,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,smb,268,78,439,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,1,1000515,yperch,177.6774194,90,333,Indian Lake,South Kingstown,41.47781,-71.47003,,,,,,,,
8,0,2,1000517,alewife,257.4333333,240,305,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,blbck,248,248,248,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,blgl,165.3333333,35,208,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,blkcrp,322,322,322,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,chnpick,276.9166667,114,400,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,eel,303.125,200,370,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,gldshnr,109.7272727,66,235,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,lmb,276.2592593,75,483,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,pmpknsd,123.1,55,205,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,2,1000517,yperch,198.3666667,85,294,Saugatucket Pond,South Kingstown,41.45347,-71.49486,,,,,,,,
8,0,3,1000523,blgl,154.7575758,36,198,Asa Pond,South Kingstown,41.45911,-71.51297,,,,,,,,
8,0,3,1000523,blkcrp,240,210,285,Asa Pond,South Kingstown,41.45911,-71.51297,,,,,,,,
8,0,3,1000523,chnpick,304.7272727,232,376,Asa Pond,South Kingstown,41.45911,-71.51297,,,,,,,,
8,0,3,1000523,eel,291.6666667,280,310,Asa Pond,South Kingstown,41.45911,-71.51297,,,,,,,,
8,0,3,1000523,gldshnr,148.6666667,90,214,Asa Pond,South Kingstown,41.45911,-71.51297,,,,,,,,
8,0,3,1000523,lmb,250.25,102,340,Asa Pond,South Kingstown,41.45911,-71.51297,,,,,,,,
8,0,3,1000523,pmpknsd,113.3076923,52,197,Asa Pond,South Kingstown,41.45911,-71.51297,,,,,,,,
8,0,3,1000523,yperch,246.6,98,290,Asa Pond,South Kingstown,41.45911,-71.51297,,,,,,,,
8,0,4,1000711,brktrt,71.8,67,78,Tributary of Saugatucket/Stoney Fort Rd.,South Kingstown,41.49964,-71.50528,,,,,,,,
8,0,5,1000711,brktrt,118.4347826,58,191,Saugatucket R./Stoney Fort Rd.,South Kingstown,41.49341,-71.49030,,,,,,,,
8,0,5,1000711,tssdtr,46.3,35,77,Saugatucket R./Stoney Fort Rd.,South Kingstown,41.49341,-71.49030,,,,,,,,
8,0,6,1000712,blgl,70.25,51,97,Fresh Meadow Brook/Broad Rock Rd. + Big Water Rd.,South Kingstown,41.47924,-71.48268,,,,,,,,
8,0,6,1000712,brktrt,187.5,174,209,Fresh Meadow Brook/Broad Rock Rd. + Big Water Rd.,South Kingstown,41.47924,-71.48268,,,,,,,,
8,0,6,1000712,eel,353,218,500,Fresh Meadow Brook/Broad Rock Rd. + Big Water Rd.,South Kingstown,41.47924,-71.48268,,,,,,,,
8,0,6,1000712,lmb,123,123,123,Fresh Meadow Brook/Broad Rock Rd. + Big Water Rd.,South Kingstown,41.47924,-71.48268,,,,,,,,
8,0,6,1000712,rdfnpick,113.3125,48,198,Fresh Meadow Brook/Broad Rock Rd. + Big Water Rd.,South Kingstown,41.47924,-71.48268,,,,,,,,
8,0,6,1000712,tssdtr,56.55555556,44,65,Fresh Meadow Brook/Broad Rock Rd. + Big Water Rd.,South Kingstown,41.47924,-71.48268,,,,,,,,
