Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
7,0,3,1120829,gldshnr,0.0,0,0,Hunt River/Davisville Road,East Greenwich,,,,,,,,,
7,0,3,1120829,lmb,0.0,0,0,Hunt River/Davisville Road,East Greenwich,,,,,,,,,
7,0,3,1120829,lngndc,0.0,0,0,Hunt River/Davisville Road,East Greenwich,,,,,,,,,
7,0,3,1120829,pmpknsd,0.0,0,0,Hunt River/Davisville Road,East Greenwich,,,,,,,,,
7,0,3,1120829,rdfnpick,0.0,0,0,Hunt River/Davisville Road,East Greenwich,,,,,,,,,
7,0,3,1120829,wtsuck,0.0,0,0,Hunt River/Davisville Road,East Greenwich,,,,,,,,,
7,0,4,1040917,blgl,92.4,65,132,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,brbull,143.0,143,143,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,brktrt,202.0,192,212,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,chnpick,131.0,95,178,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,eel,233.7,100,330,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,gldshnr,170.0,170,170,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,lmb,68.5,53,95,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,lngndc,110.0,105,115,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,pmpknsd,102.4,23,138,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,rdfnpick,211.0,197,225,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,swmpdtr,49.3,48,50,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1040917,wtsuck,153.8,142,160,Hunt R./Potowmut Rd.,North Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,atlsalm,144.1,63,185,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,blgl,109.5,102,117,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,brbull,140.0,140,140,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,chnpick,183.3,81,255,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
